date t temp ph ox ortp nh4 no silica cod bod phyto chla chlor dyno chrys crip daph eudi cyc daph_lit light ortp_krivica ortp_misca ortp_radovna q_jezernica q_krivica q_misca q_radovna q_natega diat light_m
34710 728670 4.8 7.98 7.285 0.007166667 0.4375 0.656666667 1.323833333 2.140687919 0.479523705 0.60547 0.00109 0.00225 0.001 0 0.28635 0.015798333 5.391666667 0.135 0.552941667 102.42918 0.01950585 0.057206751 0.007413984 33264 777.6 13651.2 34560 26265.6 0.042787 70.21728
34711 728671 4.774654464 7.979035291 7.351623281 0.007166753 0.437482615 0.665189802 1.323812002 2.118368356 0.49333504 0.605656958 0.001137931 0.00225 0.001000495 0 0.285465078 0.015390619 5.294683809 0.129911894 0.538671656 103.2507 0.02000772 0.060357584 0.009752535 25920 777.6 13651.2 34560 26265.6 0.04337 94.66632
34712 728672 4.750214028 7.978105032 7.417922533 0.007167014 0.437430484 0.673745118 1.323747973 2.096845833 0.507278104 0.606216102 0.001185714 0.00225 0.001001991 0 0.284556065 0.01498627 5.198583215 0.124983221 0.524519435 104.07852 0.020505613 0.063450049 0.01201586 19526.4 777.6 11232 34560 26265.6 0.044329 55.36188
34713 728673 4.726662235 7.977208597 7.483899009 0.007167451 0.437343642 0.682332314 1.323641197 2.07610586 0.521351446 0.607144836 0.001233349 0.00225 0.001004504 0 0.283623286 0.014585412 5.103374952 0.120211494 0.510489428 104.91516 0.020999537 0.066481696 0.014204168 19526.4 777.6 11232 34560 26265.6 0.045658 99.65592
34714 728674 4.703982629 7.97634536 7.549553965 0.007168067 0.437222125 0.690951088 1.323491625 2.056133944 0.535553617 0.608440565 0.001280836 0.00225 0.001008049 0 0.282667068 0.014188173 5.009069084 0.115594226 0.49658606 105.75936 0.021489496 0.069450075 0.016317666 19526.4 777.6 11232 34560 26265.6 0.04735 111.44952
34715 728675 4.682158754 7.975514693 7.614888653 0.007168863 0.437065968 0.699601138 1.323299206 2.036915595 0.549883169 0.610100695 0.001328178 0.00225 0.001012641 0 0.281687735 0.013794679 4.915675677 0.111128931 0.482813756 106.61112 0.021975497 0.072352738 0.018356561 19526.4 777.6 13651.2 34560 26265.6 0.049397 44.02188
34716 728676 4.661174153 7.974715971 7.679904329 0.007169842 0.436875206 0.708282164 1.32306389 2.01843632 0.56433865 0.612122629 0.001375374 0.00225 0.001018296 0 0.280685615 0.013405055 4.823204798 0.106813123 0.469176939 107.47296 0.022457546 0.075187233 0.020321061 19526.4 777.6 13651.2 34560 26265.6 0.051794 98.3178
34717 728677 4.64101237 7.973948568 7.744602247 0.007171007 0.436649876 0.716993864 1.322785627 2.000681628 0.578918612 0.614503773 0.001422425 0.00225 0.00102503 0 0.279661033 0.01301943 4.731666511 0.102644314 0.455680035 108.34362 0.022935648 0.077951111 0.022211373 19526.4 1123.2 13651.2 34560 26265.6 0.054534 51.73308
34718 728678 4.621656948 7.973211856 7.808983661 0.007172359 0.436390012 0.725735936 1.322464367 1.983637026 0.593621606 0.61724153 0.001469333 0.00225 0.001032858 0 0.278614314 0.012637928 4.641070882 0.098620019 0.442327468 109.22436 0.023409809 0.080641923 0.024027706 19526.4 1123.2 13651.2 34560 26265.6 0.057609 12.76884
34719 728679 4.603091432 7.97250521 7.873049825 0.0071739 0.436095649 0.73450808 1.322100061 1.967288024 0.608446182 0.620333307 0.001516098 0.00225 0.001041795 0 0.277545784 0.012260676 4.551427978 0.094737752 0.429123663 110.11518 0.023880035 0.083257218 0.025770268 22636.8 1641.6 13651.2 34560 26265.6 0.061014 26.80776
34720 728680 4.585299365 7.971828004 7.936801993 0.007175633 0.435766825 0.743309993 1.321692657 1.95162013 0.62339089 0.623776507 0.001562721 0.00225 0.001051858 0 0.27645577 0.011887801 4.462747862 0.090995024 0.416073044 111.01734 0.024346332 0.085794548 0.027439264 25920 1641.6 13651.2 34560 26265.6 0.06474 12.15648
34721 728681 4.568264291 7.97117961 8.000241421 0.007177559 0.435403573 0.752141375 1.321242107 1.936618852 0.638454282 0.627568536 0.001609202 0.00225 0.001063062 0 0.275344597 0.01151943 4.375040602 0.087389351 0.403180036 111.93084 0.024808706 0.088251461 0.029034904 33264 1641.6 18662.4 34560 26265.6 0.068782 31.11696
34722 728682 4.551969752 7.970559402 8.063369361 0.007179682 0.435005929 0.761001924 1.320748361 1.922269699 0.653634907 0.631706798 0.001655544 0.00225 0.001075422 0 0.27421259 0.011155688 4.288316263 0.083918246 0.390449064 112.85568 0.025267161 0.090625509 0.030557395 33264 1641.6 18662.4 34560 26265.6 0.073134 16.60176
34723 728683 4.536399294 7.969966755 8.126187069 0.007182003 0.43457393 0.769891339 1.320211367 1.908558178 0.668931316 0.636188697 0.001701746 0.00225 0.001088954 0 0.273060076 0.010796701 4.20258491 0.080579221 0.377884551 113.79312 0.025721705 0.092914241 0.032006945 50457.6 2851.2 18662.4 34560 26265.6 0.077787 47.69604
34724 728684 4.521536458 7.969401042 8.188695799 0.007184524 0.434107609 0.778809318 1.319631077 1.895469799 0.68434206 0.64101164 0.001747809 0.00225 0.001103673 0 0.27188738 0.010442598 4.117856609 0.077369792 0.365490924 114.7419 0.026172343 0.095115208 0.033383761 41385.6 2246.4 16156.8 34560 26265.6 0.082735 58.19688
34725 728685 4.50736479 7.968861636 8.250896804 0.007187247 0.433607003 0.78775556 1.31900744 1.882990069 0.699865689 0.646173029 0.001793734 0.00225 0.001119596 0 0.270694829 0.010093503 4.034141426 0.07428747 0.353272605 115.7058 0.02661908 0.09722596 0.034688051 33264 2246.4 18662.4 34560 26265.6 0.087972 11.06784
34726 728686 4.493867833 7.968347911 8.31279134 0.007190175 0.433072147 0.796729764 1.318340407 1.871104496 0.715500755 0.651670271 0.001839523 0.00225 0.001136736 0 0.269482747 0.009749543 3.951449426 0.07132977 0.341234021 116.6823 0.027061923 0.099244048 0.035920022 61084.8 4060.8 36201.6 34560 26265.6 0.093491 70.12656
34727 728687 4.48102913 7.96785924 8.374380661 0.00719331 0.432503077 0.805731628 1.317629927 1.85979859 0.731245806 0.65750077 0.001885175 0.00225 0.001155111 0 0.268251461 0.009410846 3.869790676 0.068494205 0.329379595 117.67392 0.027500877 0.10116702 0.037079882 50457.6 2851.2 29980.8 34560 26265.6 0.099285 30.07368
34728 728688 4.468832225 7.967394998 8.43566602 0.007196654 0.431899828 0.814760851 1.31687595 1.849057859 0.747099395 0.66366193 0.001930692 0.00225 0.001174736 0 0.267001297 0.009077536 3.78917524 0.065778289 0.317713752 118.6794 0.027935948 0.102992429 0.038167839 50457.6 1641.6 21340.8 34560 26265.6 0.10535 76.06872
34729 728689 4.457260662 7.966954558 8.496648672 0.007200209 0.431262435 0.823817131 1.316078427 1.83886781 0.763060071 0.670151156 0.001976074 0.00225 0.001195625 0 0.26573258 0.00874974 3.709613184 0.063179535 0.306240916 119.7 0.028367142 0.104717823 0.0391841 41385.6 1641.6 18662.4 34560 26265.6 0.11167 19.23264
34730 728690 4.446297983 7.966537293 8.557329872 0.007203978 0.430590934 0.832900167 1.315237307 1.829213953 0.779126385 0.676965853 0.002021323 0.00225 0.001217796 0 0.264445636 0.008427586 3.631114574 0.060695457 0.294965513 120.74328 0.028794464 0.106340754 0.040128874 41385.6 1641.6 18662.4 34560 26265.6 0.11825 124.0354723
34731 728691 4.435927734 7.966142578 8.617710873 0.007207961 0.429885361 0.842009659 1.314352541 1.820081795 0.795296888 0.684103426 0.002066438 0.00225 0.001241262 0 0.263140791 0.008111199 3.553689476 0.058323568 0.283891967 121.8168 0.029217921 0.107858771 0.041002367 33264 1641.6 18662.4 38262.85714 26265.6 0.12508 129.6901565
34732 728692 4.426133458 7.965769786 8.67779293 0.007212163 0.42914575 0.851145303 1.313424077 1.811456845 0.811570131 0.69156128 0.002111422 0.00225 0.001266041 0 0.261818371 0.007800706 3.477347954 0.056061381 0.273024701 122.9193 0.029637518 0.109269425 0.041804787 33264 1641.6 18662.4 38262.85714 26265.6 0.13215 85.68504
34733 728693 4.416898698 7.96541829 8.737577297 0.007216584 0.428372138 0.8603068 1.312451868 1.803324612 0.827944663 0.699336818 0.002156275 0.00225 0.001292146 0 0.260478701 0.007496233 3.402100076 0.053906411 0.262368142 124.05078 0.030053262 0.110570265 0.042536343 33264 1123.2 13651.2 38262.85714 26265.6 0.13945 34.31484
